wallet,totalDepositedUSD,totalBorrowedUSD,totalRepaidUSD,totalWithdrawnUSD,activityCount,uniqueTokens,creditScore
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,282.1056376025053,40.10267633402084,40.31433339845019,0,6,2,300.0000000000019
0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,0.0012181088062153706,0.0,0.0,0,1,1,300.0
0x000dd5baf04ffe492508f5f45ac3d9374b193f57,0.13920558505203293,0.0,0.0,0,1,1,300.00000000000006
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,760.4061861653315,886.7244790708098,503.6501564107848,0,8,3,300.0000000000009
0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,7134.806489127495,0.0,0.0,0,8,2,300.0000000000468
0x000e840a3122ec28d0c29321db172375cb049762,967.8323802710293,216.8257036891647,217.3913973215126,0,10,2,300.00000000000614
0x000e9bd1d42999446d60ff60f1fb3afb13604202,82.45110016915315,34.630956155900854,35.37800801727156,0,22,3,300.0000000000006
0x000eab293e332bd6e67018a9150e8807bfac3233,1.097254760600487,0.0,0.0,0,1,1,300.00000000000006
0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,102.37738923188869,0.0,0.0,0,2,2,300.00000000000074
0x000f4432a40560bbff1b581a8b7aded8dab80026,31488.764002887656,17603.97911970302,17566.377247476397,0,25,4,300.00000000018304
0x000f7f22bfc28d940d4b68e13213ab17cf107790,4.090884101595191e+19,3.4436280280110064e+19,3.433472565069429e+19,0,73,5,850.0
0x000f908720f9ce164d90f4fc89459fab4442907f,1533514206332143.8,796443100395630.6,792775870146905.4,0,96,2,308.97382805037125
0x000fbfec300959d0f2f327728a889c1f5de8e2df,591428253568978.1,140010630600290.3,139700011487765.86,0,8,2,303.688605908017
0x0011730224657eb527cf736039854c3a3f140e63,1507.324205025002,738025356182590.2,738025356182590.2,0,4,2,300.0
0x00120ea6fdbaf057eadc1bd149f957488444e92c,261.125891711734,2.602967788219515,2.6163774015531507,0,4,2,300.00000000000176
0x0012668072f7e0579caf7e047713d8b6d476d0db,2.2961814875215225,0.0,0.0,0,2,1,300.00000000000006
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,7341057718988668.0,4861932248337087.0,935131957295062.5,0,231,6,310.85193009139493
0x0012a7f00af8a643ba5a6aa187f915b4c13289df,0.0,0.0,0.0,0,1,1,300.0
0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,0.20424043145808832,0.0,0.0,0,1,1,300.00000000000006
0x00133f29e7d424f4e5773532b3fc35d020e9c54e,2.4353377818598245,0.0,0.0,0,2,1,300.00000000000006
0x0014dfac19477a83d7354e6eaac28642c1959398,86721.51626282626,18149.00162791084,18188.824774686098,0,36,3,300.0000000005448
0x001589fe1923c2118f34e4277f2ef650fcbf0161,2179408043643857.2,545075710592349.94,0.0,0,30,5,309.2783033518292
0x00159370cbe576b765a7fb2e78582e0cb563d445,988806106260386.6,2945.931847397388,0.0,0,19,5,306.47774464328825
0x0015b3f0266cd7b1f4105cf8180d37e7bd0ccead,14.143677216766179,0.0,0.0,0,2,1,300.0000000000001
0x0016469a65facda9e86fd0ae0e9661128843c224,0.020668510838366422,0.004676133673838557,0.0,0,2,1,300.00000000000006
0x0016dcd1d3c93067dce5bb30dc33258f36d33308,0.20245672002376752,0.0,0.0,0,1,1,300.00000000000006
